plantid,plantName
3452,Lake Hubbard
3490,Graham
3492,Morgan Creek
3494,Permian Basin
3504,Stryker Creek
3507,Trinidad (TX)
6145,Comanche Peak
6146,Martin Lake
6180,Oak Grove (TX)
8063,DeCordova Steam Electric Station
63223,Brightside
56806,Cedar Bayou 4
56823,Hackberry Wind Farm
61782,Live Oak Wind Project
62227,"Seymour Hills Wind Project, LLC"
62630,Jumbo Hill Wind Project
62845,ENGIE Long Draw Solar LLC
63100,Prairie Hill Wind Project
63101,Las Lomas Wind Project
64026,"ANSON Solar Center, LLC"
64165,Priddy Wind Project
56394,Forest Creek Wind Farm LLC
56479,Sand Bluff Wind Farm
56592,Champion Wind Farm LLC
56593,Roscoe Wind Farm LLC
56920,Panther Creek Wind Farm I
56921,Panther Creek Wind Farm II
56979,Panther Creek Wind Farm Three
56981,Pyron Wind Farm LLC Hybrid
56983,Papalote Creek I LLC
56984,Inadale Wind Farm LLC Hybrid
57212,Papalote Creek II LLC
57802,Magic Valley Wind Farm I LLC
58000,"Anacacho Wind Farm, LLC"
58596,"Grandview Wind Farm, LLC"
59063,Stella Wind Farm
59066,Bruennings Breeze Wind Farm
59068,"Colbeck's Corner, LLC"
60270,Blue Cloud Wind Energy LLC
62416,Cranell Wind Farm LLC
62417,Peyton Creek Wind Farm LLC
62855,West Raymond Wind Farm LLC
62909,"Raymond Wind Farm, LLC"
56956,Bull Creek Wind
56961,Notrees Windpower Hybrid
56959,Ocotillo Windpower
55309,Air Products Port Arthur
55187,Channelview Cogeneration Plant
10418,Ascend Performance Materials Texas Inc.
57153,Langford Wind Power
56661,Pattern Gulf Wind
58242,Pattern Panhandle Wind LLC
58720,Pattern Panhandle Wind 2 LLC
59442,Logans Gap Wind LLC
57197,Blue Wing Solar Energy Generation
6178,Coleto Creek
7030,Major Oak Power
57263,Little Pringle I Wind Farm
57264,Little Pringle II Wind Farm
57517,DeWind Frisco
57303,Loraine Windpark Project LLC
57322,Mont Belvieu Cogeneration Unit
57326,Sunray Wind I
56350,Colorado Bend Energy Center
56349,Quail Run Energy Center
58717,"OCI Alamo 4, LLC"
59204,OCI Alamo 3 LLC
59205,OCI Alamo 5 LLC
59207,OCI Alamo 7 LLC
60581,Upton County Solar
55556,Security
57474,Ralls Wind Farm
57504,TECO CHP-1
57617,Hidalgo Wind Farm LLC
57659,East Blackland Solar Project 1
57699,Webberville Solar Project
55153,Guadalupe Generating Station
57751,Los Vientos Wind 1A
57752,Los Vientos Wind 1B
10789,Sabine River Operations
57973,Spinning Spur Wind LLC
57974,Bobcat Bluff Wind Project LLC
58772,Longhorn Wind
58773,TX Hereford Wind
58774,Spinning Spur Wind II
58775,Spinning Spur Wind III
59238,Windthorst-2
63655,Coyote Wind LLC
57983,Stephens Ranch Wind Energy LLC
58001,Panda Temple Power Station
58005,Panda Sherman Power Station
58009,SunE CPS3 LLC
58013,IKEA Round Rock 027
61309,IKEA Grand Prairie Rooftop PV System
62152,IKEA Live Oak Rooftop PV System
58021,Whitetail
58027,SunE CPS2 LLC
59712,"San Roman Wind I, LLC"
61773,"Palmas Wind, LLC"
63624,"La Chalupa, LLC"
58068,SunE CPS1 LLC
58048,BayWa r.e Mozart LLC
58069,PRSI FCC Generator
58080,Wolf Ridge Wind
58151,Central Utility Plant - Texas A&M
58162,Cirrus Wind 1 LLC
62642,GE-Lubbock
62762,NASA Johnson Space Center CHP
56648,Majestic 1 Wind Farm
58363,Majestic II Wind
58372,Blue Summit Wind LLC
58378,W.A. Parish Carbon Capture Plant
58404,Pantex
58537,OCI Alamo Solar I Hybrid
58716,"OCI Alamo 2, LLC"
58870,Rentech Nitrogen Pasadena Cogeneration
61346,RE Maplewood
58946,Ameresco Dallas LLC
59034,Shannon Wind
59118,Cameron Wind 1 LLC
59145,Freeport LP Pretreatment Facility
59193,Chapman Ranch Wind I
57981,Senate Wind LLC
62853,Maverick Creek Wind
59320,Los Vientos Windpower III
59321,Los Vientos Windpower IV
59943,Rattlesnake Den
59384,South Plains Wind Phase I
59381,"The Methodist Hospital, Gas Turbine"
59407,Newman Solar
59417,Pleasant Hill Wind Energy Project
59475,Palo Duro Wind
57952,Woodall Gas Plant
59206,Alamo 6
60682,Pearl Solar
60987,Santa Rita Wind Energy
61212,Flat Top Wind I
55053,Bridgeport Gas Processing Plant
52065,Houston Plant
59649,Nelson Gardens Landfill Gas to Energy
59654,Sendero
59732,Green Pastures Wind I
59733,Green Pastures Wind II
59734,Briscoe Wind Farm
59938,Sky Global Power One
60044,Buckthorn Westex
60059,Los Vientos V Wind Power
59621,TX Jumbo Road Wind
52120,Freeport Energy
60104,"Javelina Wind Energy, LLC"
59332,Mesquite Creek Wind
60210,Cotton Plains Wind Farm
60217,Rocksprings
59245,Fluvanna
60264,Bacliff
60338,Electra Wind Farm
60339,Horse Creek Wind Farm
61887,Fort Bliss (DEA EPIC)
60366,Old Settler Wind
60427,CoServ Community Solar Station
60645,"Javelina Wind Energy II, LLC"
60649,Rabbit Hill Energy Storage Project
60774,Phantom Solar
60690,"Blue Summit Storage, LLC"
60743,"Rattlesnake Power, LLC"
58681,Route 66 Wind Plant
60087,South Plains II
59005,Mariah del Norte
60789,Bluebell Solar
55097,Lamar Power Project
55215,Odessa-Ector Power Plant
55480,Forney Energy Center
62773,"BT Cooke Solar, LLC"
64079,CatanSolar
60856,Astra Wind Farm
61205,Bandera Electric Coop PV
54364,Works 4
60901,Willow Springs Wind Farm
60902,Dermott Wind
60983,Buckthorn Wind
60989,SolaireHolman Solar Project
3443,Victoria
64528,Gambit Energy Storage - Angleton Storage
61355,Arlington Outlet Hydroelectric Generator
56240,Buffalo Gap Wind Farm
56484,Buffalo Gap 2 Wind Farm
56638,Buffalo Gap 3 Wind Farm
61402,Foard City Wind
61417,Gopher Creek Wind Farm
61370,Walnut Springs Solar
61409,Highway 56 Solar
61410,Whitesboro Solar
61411,Whitesboro Solar II
61513,Marlin Solar
61514,North Gainesville Solar
61524,Whitewright Solar
61532,Leon Solar
61625,West Moore Solar II
61810,Chisum
61867,Bovine
61868,Bronson
61871,Sterling Solar (TX)
61873,Yellow Jacket
61874,Eddy II
61875,Cascade Solar (TX)
65333,Shakes Solar
61493,E-Volve Energy Holdings LLC
60123,Castle Gap Solar Hybrid
59244,Lorenzo Wind
61589,UL Advanced Wind Turbine Test Facility
60459,Port Comfort Power LLC
60460,Chamon Power LLC
62755,Prospero Solar
62765,El Campo Wind
64325,Prospero Solar II
61674,Wildcat Ranch Wind Project
61700,PowerFin Kingsbery
61776,"Midway Wind, LLC"
61848,"PYCO Industries, Inc. Wind Farm"
61865,"Rio Bravo Windpower, LLC"
61906,Phoebe Solar
61920,Galloway 1 Solar Farm
61962,Holstein 1 Solar Farm
61921,Tahoka Wind
61969,"Torrecillas Wind Energy, LLC"
61970,"Blue Summit II Wind, LLC"
56905,Great Plains Windpark LLC
61872,Lampwick
62953,Griffin Solar
63027,Mars Solar
64227,"Alexis Solar, LLC"
62141,Rambler
62142,Amadeus Wind Farm
62207,Reloj del Sol Wind Farm
62753,Prospect Storage
62258,Mesteno
62259,Ranchero Wind Farm LLC
61368,Midway Solar - TX
62356,Lockett Windfarm
62411,Griffin Trail Wind
58488,"Bryan Solar, LLC"
61895,Toyota HQ Plan
62448,Lapetus
54097,International Paper Texarkana Mill
62483,Taygete Energy Project LLC
3453,Mountain Creek
55365,Exelon LaPorte Generating Station
62562,"High Lonesome Wind Power, LLC Hybrid"
62561,"Roadrunner, LLC Hybrid"
62566,Blue Summit III Wind
57520,Trinity Hills
56771,Silver Star I Wind Power Project
57415,Sherbino II
61697,Lamesa II
62587,Mesquite Star
62618,Hidalgo Wind Farm II
62620,Sage Draw Wind
55579,Llano Estacado Wind Ranch
63273,Wagyu
63180,"TPE Whitney Solar, LLC"
62715,Wildcat Creek Wind Farm LLC
62809,BMP Wind (TX)
62772,Coniglio Solar
62774,Kellam Solar
62804,Greasewood Solar
62836,Maryneal Windpower
62933,Oberon IA
62932,Oberon IB
62945,Fighting Jays Solar Project
64892,"TPE Erath Solar, LLC"
63222,Impact Solar 1
63764,Elm Branch Solar 1
63769,Briar Creek Solar 1
64204,Elara Solar
10184,Central Utility Plant
58838,Keechi Wind
63209,Aviator Wind
63255,2W Permian Solar Project Hybrid
62249,Misae Solar
61032,Heart of Texas Wind Project
63335,HO Clarke Generating
63688,Topaz Generating
64383,Braes Bayou Plant
65372,Mark One Power Station
63320,Titan Solar Project
63328,Juno Solar Project
63329,Aragorn Solar Project
63351,Bluebell Solar II
63388,Oxy Renewable Energy - Goldsmith
64423,TX7 Flat Top
64424,TX8 Worsham
64425,TX2 Port Lavaca
65694,TX11 Republic Road Storage
65695,TX12 Silicon Hill Storage
65696,TX13 Endurance Park Storage
65701,TX23 Roughneck Storage
59972,Bearkat
63737,Chisholm Grid Energy Storage System
63739,Las Majadas Wind Farm
64389,Niagara Bottling - Seguin
63738,Helena Wind
63892,Lily Solar Hybrid
63905,Azure Sky Solar
64149,"Western Trail Wind, LLC"
64293,Alvin
64294,Odessa
64295,Angleton
64296,Brazoria
64297,Heights
64298,Magnolia TX
64312,Bat Cave
64314,Dickinson
64315,Loop 463
64316,Lopeno
64317,North Fork TX
64318,Pueblo BA
64319,Ranchtown
64321,Sweeny
64322,Zapata
62415,West of the Pecos Solar
64821,FELPS 1 - Calaveras
64823,FELPS 2 - Calaveras			
64824,FELPS 3 - Floresville South					
64825,FELPS 4 - Floresville South
64826,FELPS 5- Floresville South
64827,FELPS 6- Floresville West
64828,FELPS 7- Floresville West
64447,Brazoria West
64538,Corazon Energy LLC
64591,"El Algodon Alto Wind Farm, LLC"
64639,TG East
64665,Great Prairie Wind
64710,White Mesa Wind
64769,WAL194
64770,WAL202
64771,WAL266
64772,WAL284
64773,WAL407
64774,WAL414
64775,WAL447
64776,WAL452
64777,WAL456
64778,WAL461
64791,WAL462
64792,WAL504
64793,WAL522
64794,WAL529
64795,WAL536
64796,WAL537
64797,WAL546
64798,WAL565
64799,WAL602
64800,WAL744
64801,WAL752
64802,WAL768
64803,WAL772
64804,WAL791
64805,WAL849
64806,WAL872
64807,WAL896
64808,WAL897
64809,WAL940
64810,WAL947
64812,WAL972
64813,WAL1040
64814,WAL1062
64815,WAL1103
64816,WAL1232
64829,WAL1272
64883,WAL1455
64884,WAL1801
64885,WAL2257
64886,WAL2439
64887,WAL2667
64888,WAL2724
64889,WAL2883
64890,WAL2980
64891,WAL2993
64893,WAL3224
64895,WAL3226
64896,WAL3284
64897,WAL3285
64898,WAL3297
64899,WAL3298
64900,WAL3302
64901,WAL3320
64902,WAL3390
64922,WAL3406
64923,WAL3425
64924,WAL3432
64925,WAL3500
64926,WAL3510
64933,WAL3518
64934,WAL3572
64935,WAL3584
64936,WAL3631
64937,WAL3773
64938,WAL3777
64939,WAL3827
64940,WAL3886
64942,WAL4298
64943,WAL4509
64944,WAL4512
64945,WAL4526
64946,WAL4538
64947,WAL5045
64948,WAL5080
64949,WAL5091
64950,WAL5116
64951,WAL5165
64952,WAL5211
64953,WAL5287
64954,WAL5311
64955,WAL5312
64956,WAL5316
64957,WAL5388
64958,WAL5479
64959,WAL5480
64960,WAL5612
64961,WAL5713
64962,WAL5764
64963,WAL6929
64915,Flower Valley I
64916,Swoose I
64917,Triple Butte I
63519,CED Crane Solar
56560,Porterhouse Wind (4) LLC
56561,Filet Wind (5) LLC
56562,Tenderloin Wind (6) LLC
56835,Ribeye Wind (11) LLC
56836,T-Bone Wind (10) LLC
56837,Tri-Tip Wind (9) LLC
56838,Brisket Wind (8) LLC
56839,Flat Iron Wind (7) LLC
62505,G.S.E. One LLC
65026,HEB00292
65261,HEB00020
65262,HEB00028
65263,HEB00038
65264,HEB00054
65265,HEB00057
65266,HEB00070
65267,HEB00099
65268,HEB00109
65269,HEB00110
65274,HEB00182
65048,Hubbard Wind
63030,"Canadian Breaks, LLC"
50304,Shell Deer Park
65162,Lacy Creek Wind Energy Center
65259,Byrd Ranch Storage
65271,Noble Solar
65303,Sun Valley Solar Project
65306,Limestone Wind Project
57260,Cedro Hill Wind LLC
56754,Goat Wind LP
65335,Appaloosa Run Wind
56432,Wildorado Wind LLC
61966,Victoria Port Power II LLC
62548,SJRR Power LLC
65521,"Longbow Solar, LLC"
65571,Verizon Hidden Ridge Solar Project
65535,Bakke
65536,Citrus City
65537,Clara
65538,Cutten
65539,E. Porte Ct.
65540,Frankel
65541,GCWA
65542,Goldsmith
65543,Mckeever
65544,N. Mary Francis
65573,Ridge Rd
65574,Santa Rosa
65575,Southwick
65576,Stonegate
65578,Tumbleweed
65579,Vaquero
65580,Villa Cavasos
65581,Westover
61241,Tres City Power LLC
61242,"Tres Port Power, LLC"
65546,Inertia Wind Project
65631,"Pisgah Ridge Solar, LLC"
65661,Nebula Solar
65662,Vancourt Solar Interconnections
65763,Young Wind
65809,Caterina
65810,Cedarville (TX)
65811,Coyote Springs (TX)
65813,Faulkner
65829,Holcomb (TX)
65831,Lonestar
65833,Rattlesnake (TX)
65834,Saddleback
65835,Screwbean
65836,Toyah Power Station
65838,Hoef's Road Storage
65946,Hecate Energy Upshur Rural LLC
66007,Flower Valley II
66008,Swoose II
66009,Crossett Power Management LLC
66046,Brazoria County Solar Project (Danciger)
66310,Cutlass Solar 1 LLC
