,period,msn,value,unit
107,2020-11,TXEIEUS,106.332,Million Metric Tons of Carbon Dioxide
108,2020-10,TXCCBUS,306.716,Trillion Btu
109,2020-10,TXRCBUS,379.095,Trillion Btu
110,2020-10,TXEIEUS,115.043,Million Metric Tons of Carbon Dioxide
111,2020-10,TXICBUS,1886.104,Trillion Btu
112,2020-09,TXCCBUS,232.711,Trillion Btu
113,2020-09,TXRCBUS,241.42,Trillion Btu
114,2020-09,TXICBUS,1785.222,Trillion Btu
115,2020-09,TXEIEUS,127.415,Million Metric Tons of Carbon Dioxide
116,2020-08,TXCCBUS,214.68,Trillion Btu
117,2020-08,TXICBUS,1845.961,Trillion Btu
118,2020-08,TXRCBUS,214.021,Trillion Btu
119,2020-08,TXEIEUS,163.421,Million Metric Tons of Carbon Dioxide
120,2020-07,TXICBUS,1800.216,Trillion Btu
121,2020-07,TXRCBUS,225.971,Trillion Btu
122,2020-07,TXCCBUS,213.97,Trillion Btu
123,2020-07,TXEIEUS,166.135,Million Metric Tons of Carbon Dioxide
124,2020-06,TXICBUS,1686.459,Trillion Btu
125,2020-06,TXRCBUS,252.239,Trillion Btu
126,2020-06,TXCCBUS,220.331,Trillion Btu
127,2020-06,TXEIEUS,125.497,Million Metric Tons of Carbon Dioxide
128,2020-05,TXCCBUS,263.144,Trillion Btu
129,2020-05,TXRCBUS,383.995,Trillion Btu
130,2020-05,TXICBUS,1684.977,Trillion Btu
131,2020-05,TXEIEUS,96.374,Million Metric Tons of Carbon Dioxide
132,2020-04,TXICBUS,1616.772,Trillion Btu
133,2020-04,TXRCBUS,537.81,Trillion Btu
134,2020-04,TXCCBUS,334.965,Trillion Btu
135,2020-04,TXEIEUS,87.316,Million Metric Tons of Carbon Dioxide
136,2020-03,TXCCBUS,454.508,Trillion Btu
137,2020-03,TXRCBUS,705.753,Trillion Btu
138,2020-03,TXICBUS,1941.479,Trillion Btu
139,2020-03,TXEIEUS,103.382,Million Metric Tons of Carbon Dioxide
140,2020-02,TXCCBUS,572.812,Trillion Btu
141,2020-02,TXRCBUS,934.462,Trillion Btu
142,2020-02,TXEIEUS,108.891,Million Metric Tons of Carbon Dioxide
143,2020-02,TXICBUS,1888.423,Trillion Btu
144,2020-01,TXCCBUS,627.259,Trillion Btu
145,2020-01,TXICBUS,2013.471,Trillion Btu
146,2020-01,TXEIEUS,120.822,Million Metric Tons of Carbon Dioxide
147,2020-01,TXRCBUS,1043.146,Trillion Btu
