,period,stateId,producertypeid,energysourceid,capability,capability-units
111,2010,TX,TOT,OT,987.7,megawatts
112,2010,TX,TOT,NUC,4966,megawatts
113,2010,TX,TOT,NGST,25270.3,megawatts
114,2010,TX,TOT,NGIC,262.5,megawatts
115,2010,TX,TOT,NGGT,7713.9,megawatts
116,2010,TX,TOT,NGCC,35226.3,megawatts
117,2010,TX,TOT,NG,68473,megawatts
118,2010,TX,TOT,HYC,689.3,megawatts
119,2010,TX,TOT,COL,22335.4,megawatts
120,2010,TX,TOT,BAT,1,megawatts
121,2010,TX,TOT,ALL,108257.5,megawatts
122,2010,TX,IPP,ALL,81724.1,megawatts
123,2010,TX,IPP,WOO,214.5,megawatts
124,2010,TX,IPP,WND,9950.6,megawatts
125,2010,TX,IPP,SOLPV,13.5,megawatts
126,2010,TX,IPP,SOL,13.5,megawatts
127,2010,TX,IPP,PETST,145.6,megawatts
128,2010,TX,IPP,PETIC,43.8,megawatts
129,2010,TX,IPP,PET,189.4,megawatts
130,2010,TX,IPP,OOG,305.6,megawatts
131,2010,TX,IPP,OBM,115.4,megawatts
132,2010,TX,IPP,OT,987.7,megawatts
133,2010,TX,IPP,NUC,4966,megawatts
134,2010,TX,IPP,NGST,14536.3,megawatts
135,2010,TX,IPP,NGIC,34.7,megawatts
136,2010,TX,IPP,NGGT,5328,megawatts
137,2010,TX,IPP,NGCC,32499.8,megawatts
138,2010,TX,IPP,NG,52398.8,megawatts
139,2010,TX,IPP,HYC,7.2,megawatts
140,2010,TX,IPP,COL,12574.4,megawatts
141,2010,TX,IPP,BAT,1,megawatts
142,2010,TX,EU,ALL,26533.4,megawatts
143,2010,TX,EU,WND,1.3,megawatts
144,2010,TX,EU,PETIC,14.8,megawatts
145,2010,TX,EU,PET,14.8,megawatts
146,2010,TX,EU,NGST,10734,megawatts
147,2010,TX,EU,NGIC,227.8,megawatts
148,2010,TX,EU,NGGT,2385.9,megawatts
149,2010,TX,EU,NGCC,2726.5,megawatts
150,2010,TX,EU,NG,16074.2,megawatts
151,2010,TX,EU,HYC,682.1,megawatts
152,2010,TX,EU,COL,9761,megawatts
153,2009,TX,TOT,NGST,24669,megawatts
154,2009,TX,TOT,NGOTH,5,megawatts
155,2009,TX,TOT,NGIC,36.5,megawatts
156,2009,TX,TOT,NGGT,7210.4,megawatts
157,2009,TX,TOT,NGCC,34928.8,megawatts
158,2009,TX,TOT,NG,66849.7,megawatts
159,2009,TX,TOT,HYC,689,megawatts
160,2009,TX,TOT,COL,20247,megawatts
161,2009,TX,TOT,ALL,103037.2,megawatts
162,2009,TX,TOT,WOO,179.5,megawatts
163,2009,TX,TOT,WND,9378.3,megawatts
164,2009,TX,TOT,PETST,146.6,megawatts
165,2009,TX,TOT,PETOTH,12,megawatts
166,2009,TX,TOT,PETIC,62.1,megawatts
167,2009,TX,TOT,PET,220.7,megawatts
168,2009,TX,TOT,OOG,184.1,megawatts
169,2009,TX,TOT,OBM,107.2,megawatts
170,2009,TX,TOT,OT,254.7,megawatts
171,2009,TX,TOT,NUC,4927,megawatts
172,2009,TX,IPP,ALL,77897.6,megawatts
173,2009,TX,IPP,WOO,179.5,megawatts
174,2009,TX,IPP,WND,9377,megawatts
175,2009,TX,IPP,PETST,146.6,megawatts
176,2009,TX,IPP,PETOTH,12,megawatts
177,2009,TX,IPP,PETIC,47.3,megawatts
178,2009,TX,IPP,PET,205.9,megawatts
179,2009,TX,IPP,OOG,184.1,megawatts
180,2009,TX,IPP,OBM,107.2,megawatts
181,2009,TX,IPP,OT,215.7,megawatts
182,2009,TX,IPP,NUC,4927,megawatts
183,2009,TX,IPP,NGST,13906,megawatts
184,2009,TX,IPP,NGOTH,5,megawatts
185,2009,TX,IPP,NGIC,34.3,megawatts
186,2009,TX,IPP,NGGT,5471.4,megawatts
187,2009,TX,IPP,NGCC,32054.3,megawatts
188,2009,TX,IPP,NG,51471,megawatts
189,2009,TX,IPP,HYC,7.2,megawatts
190,2009,TX,IPP,COL,11223,megawatts
191,2009,TX,EU,ALL,25139.6,megawatts
192,2009,TX,EU,WND,1.3,megawatts
193,2009,TX,EU,PETIC,14.8,megawatts
194,2009,TX,EU,PET,14.8,megawatts
195,2009,TX,EU,OT,39,megawatts
196,2009,TX,EU,NGST,10763,megawatts
197,2009,TX,EU,NGIC,2.2,megawatts
198,2009,TX,EU,NGGT,1739,megawatts
199,2009,TX,EU,NGCC,2874.5,megawatts
200,2009,TX,EU,NG,15378.7,megawatts
201,2009,TX,EU,HYC,681.8,megawatts
202,2009,TX,EU,COL,9024,megawatts
203,2008,TX,TOT,ALL,104965.5,megawatts
204,2008,TX,TOT,WOO,179.5,megawatts
205,2008,TX,TOT,WND,7426.7,megawatts
206,2008,TX,TOT,PETST,143.6,megawatts
207,2008,TX,TOT,PETOTH,12,megawatts
208,2008,TX,TOT,PETIC,62.1,megawatts
209,2008,TX,TOT,PET,217.7,megawatts
210,2008,TX,TOT,OOG,187.3,megawatts
