entityid,entityName
59155,"Evergreen Wind, LLC"
59157,The Methodist Hospital
59180,Newman Solar LLC
59188,Pleasant Hill Wind Energy LLC
59238,Palo Duro Wind
59344,Energy Transfer Field Services LLC
59359,"BHE Renewables, LLC"
59366,"EnLink Midstream Services, LLC"
59409,Eco Services Corp.
59414,"Nelson Gardens Energy, LLC"
59428,"Sendero Wind Energy, LLC"
59501,"Green Pastures Wind I, LLC"
59502,"Green Pastures Wind II, LLC"
59503,Capital Dynamics
59698,"Sky Global Power One Pledgor, LLC"
59777,"Buckthorn Westex, LLC"
59792,"Los Vientos Windpower V, LLC"
59871,"TX Jumbo Road Wind, LLC"
59875,Olin Blue Cube Operations
59882,"Javelina Wind Energy, LLC"
59900,"Mesquite Creek Wind, LLC"
59979,"Cotton Plains Wind I, LLC"
59999,"Rocksprings Val Verde Wind, LLC"
60042,Fluvanna Wind Energy LLC
60048,PHR Holdings LLC
60128,"Electra Wind, LLC"
60129,"Horse Creek Wind, LLC"
60146,Ameresco Federal Solutions
60155,"Old Settler Wind, LLC"
60228,CoServ Electric
60384,"Javelina Wind Energy II, LLC"
60389,Rabbit Hill Energy Storage Project
60400,"Phantom Solar, LLC"
60409,"Blue Summit Storage, LLC"
60443,"Rattlesnake Power, LLC"
60453,Onward Energy
60475,Mariah Holdings II LLC c/o CAMS
60476,"Bluebell Solar, LLC"
60477,LaFrontera Holdings LLC
60496,"Adapture Renewables, Inc."
60515,Astra Wind LLC
60520,SoCore Energy LLC
60538,Vitro Architectural Glass
60542,"Willow Springs Windfarm, LLC"
60543,"Dermott Wind, LLC"
60617,"Buckthorn Wind Project, LLC"
60636,"SolaireHolman 1, LLC"
60638,"Victoria WLE, LP"
60947,Tesla Inc.
60995,Tarrant Regional Water District
61012,AES Distributed Energy
61037,"Foard City Wind, LLC"
61054,Fluvanna Wind Energy 2 LLC
61060,Cypress Creek Renewables
61100,E-Volve Energy Holdings LLC
61123,Upton County Solar 2 LLC
61133,"Lorenzo Wind, LLC"
61188,West Texas A&M University
61199,"Peaker Power, LLC"
61219,Longroad Energy Services LLC
61291,"Wildcat Ranch Wind Project, LLC"
61323,"PowerFin ASL 1, LLC"
61396,"Midway Wind, LLC"
61470,"PYCO Industries, Inc."
61485,"Rio Bravo Windpower, LLC"
61515,"Phoebe Energy Project, LLC"
61523,225DD 8me LLC
61524,226HC 8me LLC
61527,"Tahoka Wind, LLC"
61562,"Torrecillas Wind Energy, LLC"
61563,"Blue Summit II Wind, LLC"
61671,Great Plains Windpark Legacy LLC
61677,Sol Systems
61678,RE Rambler LLC
61683,Amadeus Wind LLC
61727,Reloj del Sol Wind Farm LLC
61728,GlidePath Power Operations LLC
61770,Mesteno Wind
61771,Ranchero Wind Farm LLC
61801,Midway Solar
61886,"Lockett Windfarm, LLC"
61942,"Griffin Trail Wind, LLC"
61944,MN8 Energy LLC
61960,Lapetus Energy Project LLC
61963,Graphic Packaging International - Texarkana
62006,"7X Energy, Inc."
62026,"Mountain Creek Power, LLC"
62027,"LaPorte Power, LLC"
62046,"High Lonesome Wind Power, LLC"
62047,"Roadrunner Solar, LLC"
